DT,distance(Km),heart,pace
2024-01-22 20:24:17,6.28,144,5:02
2024-01-23 16:12:13,0.10,103,15:42
2024-01-23 16:16:27,8.11,153,4:56
2024-01-24 20:31:14,7.07,147,5:01
2024-01-25 16:45:13,6.71,141,5:20
2024-01-28 06:35:01,6.58,150,5:29
2024-01-30 20:37:29,8.12,135,5:43
2024-01-31 12:16:35,6.30,146,5:37
2024-02-01 12:19:10,6.30,156,5:32
2024-02-02 20:08:10,4.11,143,5:15
2024-02-03 21:09:36,6.05,139,5:41
2024-02-04 16:20:32,5.55,137,5:35
2024-02-06 16:07:03,6.22,145,5:14
2024-02-07 18:19:38,6.18,143,5:11
2024-02-08 17:01:41,8.46,145,5:12
2024-02-09 12:34:26,5.13,140,5:39
2024-02-11 16:05:29,10.22,146,5:12
2024-02-13 16:17:16,12.04,147,5:00
2024-02-14 20:46:22,6.04,147,4:53
2024-02-15 19:18:26,6.67,138,5:09
2024-02-16 20:46:13,6.76,133,5:13
2024-02-17 16:42:05,12.31,140,5:08
2024-02-18 20:46:22,8.16,151,4:42
2024-02-19 16:55:11,7.61,153,5:10
2024-02-20 20:54:37,6.12,138,5:29
2024-02-22 12:02:15,8.05,154,5:13
2024-02-23 20:53:51,5.32,137,5:26
2024-02-24 20:38:49,5.58,141,5:07
2024-02-26 11:53:39,6.36,151,5:55
2024-02-27 11:53:03,7.61,152,5:10
2024-02-28 11:39:01,6.11,156,5:21
2024-02-29 11:52:32,5.50,149,5:17
2024-03-01 21:22:25,7.12,152,4:55
2024-03-03 16:26:30,21.11,147,5:03
2024-03-04 11:39:42,4.05,131,6:12
2024-03-05 11:36:21,8.90,147,5:37
2024-03-06 11:43:00,6.21,151,5:23
2024-03-12 11:47:05,5.00,137,6:28
2024-03-15 20:35:24,8.04,146,5:26
2024-03-16 21:18:12,6.51,144,5:05
2024-03-17 20:06:57,8.24,150,5:08
2024-03-18 12:20:37,5.75,154,5:33
2024-03-19 20:51:45,5.08,146,5:20
2024-03-20 11:40:33,5.54,149,5:42
2024-03-22 11:43:24,5.61,156,6:21
2024-03-23 16:22:17,6.29,132,5:56
2024-03-24 16:24:13,4.66,146,4:58
2024-03-25 20:44:18,6.07,141,5:42
